expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/23/2015,535.0,Call,GOOG  150123C00535000,11.150,10.30,12.00,-1.20,-9.7166,1,68,11.1500,0.283,27.4316,0.4242,0.0105,-0.3195,-0.0328,0.5176,0.1337
01/23/2015,535.0,Put,GOOG  150123P00535000,19.000,17.80,20.20,2.50,15.1515,0,39,19.0000,0.2692,27.4316,-0.5811,0.0110,-0.3019,-0.0365,0.5156,-0.1767
01/23/2015,537.5,Call,GOOG  150123C00537500,10.100,9.30,10.90,-1.15,-10.2222,11,35,10.1000,0.2812,27.2423,0.3979,0.0104,-0.3126,-0.0332,0.5098,0.1256
01/23/2015,537.5,Put,GOOG  150123P00537500,20.250,19.00,21.50,2.45,13.764,0,15,20.2500,0.2635,27.2423,-0.6109,0.0111,-0.2900,-0.0382,0.5015,-0.1836
01/23/2015,540.0,Call,GOOG  150123C00540000,9.100,8.30,9.90,-1.00,-9.901,76,105,9.1000,0.2792,27.0624,0.3717,0.0103,-0.3041,-0.0337,0.4997,0.1176
01/23/2015,540.0,Put,GOOG  150123P00540000,21.950,20.90,23.00,2.75,14.3229,0,13,21.9500,0.265,27.0624,-0.6366,0.0108,-0.2855,-0.0377,0.5026,-0.1905
01/23/2015,542.5,Call,GOOG  150123C00542500,8.250,7.50,9.00,-0.85,-9.3407,0,49,8.2500,0.2788,26.892,0.3468,0.0100,-0.2965,-0.0338,0.4878,0.1098
01/23/2015,542.5,Put,GOOG  150123P00542500,23.550,22.50,24.60,3.00,14.5985,0,5,23.5500,0.2632,26.892,-0.6635,0.0105,-0.2753,-0.0383,0.4841,-0.1967
01/23/2015,545.0,Call,GOOG  150123C00545000,7.400,6.70,8.10,-0.80,-9.7561,15,18,7.4000,0.2772,26.7311,0.3218,0.0098,-0.2862,-0.0342,0.4737,0.1021
01/23/2015,545.0,Put,GOOG  150123P00545000,25.000,23.80,26.20,2.80,12.6126,0,25,25.0000,0.2568,26.7311,-0.6935,0.0104,-0.2584,-0.0402,0.4615,-0.2026
01/23/2015,547.5,Call,GOOG  150123C00547500,6.600,5.90,7.30,-0.70,-9.589,0,15,6.6000,0.2754,26.5798,0.2972,0.0095,-0.2746,-0.0347,0.4575,0.0944
01/23/2015,547.5,Put,GOOG  150123P00547500,27.150,25.90,28.40,3.20,13.3612,0,14,27.1500,0.2644,26.5798,-0.7119,0.0098,-0.2587,-0.0379,0.4624,-0.2069
01/23/2015,550.0,Call,GOOG  150123C00550000,5.850,5.30,6.40,-0.80,-12.0301,30,71,5.8500,0.2733,26.4381,0.2731,0.0092,-0.2617,-0.0352,0.4394,0.0869
01/23/2015,550.0,Put,GOOG  150123P00550000,28.450,27.20,29.70,2.90,11.3503,0,10,28.4500,0.2513,26.4381,-0.7466,0.0097,-0.2303,-0.0421,0.4365,-0.2122
01/23/2015,552.5,Call,GOOG  150123C00552500,5.150,4.60,5.70,-0.60,-10.4348,0,3,5.1500,0.2709,26.3059,0.2495,0.0089,-0.2476,-0.0358,0.4195,0.0795
01/23/2015,552.5,Put,GOOG  150123P00552500,30.750,29.50,32.00,3.35,12.2263,0,21,30.7500,0.26,26.3059,-0.7608,0.0091,-0.2308,-0.0393,0.4078,-0.2152
