expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
02/13/2015,3.0,Put,ZNGA  150213P00003000,0.465,0.41,0.52,N/A,N/A,0,0,0.4650,0.6678,70.8449,-0.6565,0.5992,-0.0026,-232.4348,0.0033,-0.0022
02/13/2015,3.5,Call,ZNGA  150213C00003500,0.080,0.02,0.14,N/A,N/A,0,0,0.0501,0.71,70.8449,0.1613,0.3730,-0.0018,-204.4088,0.0023,0.0005
02/13/2015,3.5,Put,ZNGA  150213P00003500,0.880,0.62,1.14,N/A,N/A,0,0,0.8802,0.6678,70.8449,-0.8578,0.3666,-0.0016,-233.8068,0.0022,-0.0027
02/20/2015,1.5,Call,ZNGA  150220C00001500,1.220,1.10,1.34,-0.02,-2.008,0,21,1.1634,0.7132,66.1107,0.9888,0.0415,-0.0002,-194.9202,0.0003,0.0020
02/20/2015,1.5,Put,ZNGA  150220P00001500,0.000,0.00,0.03,0.00,0,0,0,0.0030,0.7132,66.1107,-0.0112,0.0415,-0.0002,-202.5268,0.0003,-0.0000
02/20/2015,2.0,Call,ZNGA  150220C00002000,0.705,0.69,0.72,-0.09,-11.3207,300,8123,0.7050,0.7132,66.1107,0.8857,0.2725,-0.0014,-201.3991,0.0019,0.0023
02/20/2015,2.0,Put,ZNGA  150220P00002000,0.050,0.03,0.07,-0.02,-28.5714,0,171,0.0445,0.7132,66.1107,-0.1140,0.2729,-0.0013,-203.1690,0.0020,-0.0005
02/20/2015,2.5,Call,ZNGA  150220C00002500,0.355,0.33,0.38,-0.03,-8.9744,0,494,0.3550,0.6962,66.1107,0.6442,0.5383,-0.0025,-212.2473,0.0037,0.0019
02/20/2015,2.5,Put,ZNGA  150220P00002500,0.190,0.17,0.21,0.02,11.7647,31,979,0.1900,0.6837,66.1107,-0.3550,0.5498,-0.0025,-221.2495,0.0037,-0.0014
02/20/2015,3.0,Call,ZNGA  150220C00003000,0.155,0.14,0.17,-0.03,-13.8889,28,3428,0.1550,0.6995,66.1107,0.3714,0.5435,-0.0026,-210.4981,0.0038,0.0012
02/20/2015,3.0,Put,ZNGA  150220P00003000,0.485,0.47,0.50,0.03,6.5934,2,186,0.4850,0.6744,66.1107,-0.6371,0.5619,-0.0025,-227.9542,0.0038,-0.0026
02/20/2015,3.5,Call,ZNGA  150220C00003500,0.080,0.06,0.10,0.00,6.6667,0,1208,0.0800,0.7717,66.1107,0.2101,0.3757,-0.0022,-173.0442,0.0029,0.0007
02/20/2015,3.5,Put,ZNGA  150220P00003500,0.940,0.89,0.99,0.05,5.0279,0,170,0.9400,0.8414,66.1107,-0.7630,0.3705,-0.0025,-146.6912,0.0031,-0.0032
03/20/2015,1.5,Call,ZNGA  150320C00001500,1.230,1.16,1.30,-0.01,-1.2048,0,120,1.1825,0.8188,64.4356,0.9551,0.0935,-0.0006,-151.7338,0.0012,0.0029
03/20/2015,1.5,Put,ZNGA  150320P00001500,0.000,0.00,0.05,0.00,0,0,250,0.0217,0.8188,64.4356,-0.0449,0.0935,-0.0006,-154.2376,0.0012,-0.0003
03/20/2015,2.0,Call,ZNGA  150320C00002000,0.775,0.72,0.83,-0.04,-4.908,0,942,0.7750,0.8188,64.4356,0.8266,0.2530,-0.0017,-152.9782,0.0032,0.0031
03/20/2015,2.0,Put,ZNGA  150320P00002000,0.090,0.06,0.12,-0.01,-10,0,845,0.1141,0.8188,64.4356,-0.1733,0.2538,-0.0016,-154.1962,0.0032,-0.0012
