expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/30/2015,11.5,Call,BBRY  150130C00011500,0.355,0.33,0.38,-0.05,-12.3457,30,93,0.3550,0.4497,43.76,0.3846,0.2700,-0.0090,-29.8823,0.0120,0.0032
01/30/2015,11.5,Put,BBRY  150130P00011500,0.895,0.84,0.95,-0.01,-1.105,0,19,0.8950,0.467,43.76,-0.6095,0.2622,-0.0094,-27.8680,0.0121,-0.0054
01/30/2015,12.0,Call,BBRY  150130C00012000,0.230,0.19,0.27,-0.02,-8,0,14,0.2300,0.4636,45.1464,0.2740,0.2282,-0.0081,-28.1273,0.0105,0.0023
01/30/2015,12.0,Put,BBRY  150130P00012000,1.250,1.16,1.34,0.00,0.4016,0,0,1.2500,0.4646,45.1464,-0.7258,0.2287,-0.0081,-28.1966,0.0106,-0.0062
02/06/2015,10.0,Call,BBRY  150206C00010000,1.245,1.13,1.36,-0.04,-3.1128,0,3,1.2450,0.4792,47.9192,0.7550,0.1877,-0.0072,-26.2387,0.0110,0.0071
02/06/2015,10.0,Put,BBRY  150206P00010000,0.265,0.24,0.29,-0.00,-0,12,4,0.2650,0.4808,47.9192,-0.2453,0.1880,-0.0072,-26.2498,0.0108,-0.0028
02/06/2015,10.5,Call,BBRY  150206C00010500,0.905,0.85,0.96,-0.03,-3.2086,0,20,0.9050,0.4661,47.1197,0.6468,0.2281,-0.0082,-27.7603,0.0130,0.0063
02/06/2015,10.5,Put,BBRY  150206P00010500,0.445,0.39,0.50,0.02,4.7059,0,0,0.4450,0.4828,47.1197,-0.3560,0.2219,-0.0085,-26.0453,0.0132,-0.0040
02/06/2015,11.0,Call,BBRY  150206C00011000,0.630,0.59,0.67,-0.03,-5.2632,0,6,0.6300,0.4582,46.9165,0.5246,0.2486,-0.0086,-28.7598,0.0139,0.0052
02/06/2015,11.0,Put,BBRY  150206P00011000,0.645,0.62,0.67,-0.00,-0.7692,11,1,0.6450,0.4557,46.9165,-0.4756,0.2511,-0.0086,-29.2566,0.0139,-0.0053
02/06/2015,11.5,Call,BBRY  150206C00011500,0.415,0.38,0.45,-0.05,-11.7021,0,0,0.4150,0.4494,47.2395,0.4011,0.2461,-0.0082,-29.9029,0.0135,0.0040
02/06/2015,11.5,Put,BBRY  150206P00011500,0.970,0.91,1.03,0.03,3.1915,0,0,0.9700,0.4767,47.2395,-0.5904,0.2344,-0.0088,-26.7600,0.0136,-0.0065
